Model	Last_Change_Date	Region	Name
AAR         	03/22/1983	GL	ALLEN AIRCRAFT RADIO INC            
ABACUS      	03/22/1983	WP	ABACUS INC                          
ABEX        	06/27/1984	WP	ABEX CORP,AEROSPACE DIV             
AC          	03/22/1983	GL	AC ELOCTRONIC*SPARK PLUG DIV GMC    
ACI         	03/22/1983	GL	AIRCRAFT COMPONENTS INC             
ACK         	01/24/1991	WP	ACK TECHNOLOGIES                    
ACMDRXXXXXX 	03/22/1983	  	SEE RKWELL                          
ACME URDC   	06/23/1995	NM	ACME URDC INC.                      
ACQCOR      	04/22/1991	EA	AIRCRAFT ACQUISITION CORP           
ACR         	03/22/1983	SO	ACR ELECTRONICS DIV CHROMALLOY CORP 
ADAMAC      	03/21/2008	NM	ADAM AIRCRAFT INDUSTRIES            
ADAMS       	03/22/1983	SO	ADAMS BALLOONS                      
ADAMSI      	03/22/1983	GL	ADAMS INDUSTRIES                    
ADEL        	03/22/1983	WP	ADEL DIV DELAVAL TURBINE INC        
ADI         	03/22/1983	EA	ANTENNA DEVELOPMENT INC             
ADVANC      	07/21/1997	CE	ADVANCEDINDUSTRIESINC               
AEI         	03/22/1983	EA	AEI TELECOM LTD                     
AERDIF      	03/22/1983	EU	AERODIFUSION S.L.                   
AERITALIA   	03/22/1983	EU	AERITALIA,S.P.A.                    
AERMER      	03/22/1983	EU	AEROMERE S.A.                       
AERO        	12/22/2003	EU	AEROTECHNIK S.R.O.                  
AEROAG      	03/22/1983	SW	AERONAUTICA AGRICOLA MEXICANA,S.A.  
AEROCD      	12/03/1997	NM	AEROCOMMANDER                       
AEROCOM     	03/22/1983	SO	AEROCOM                             
AERODUCT    	03/22/1983	WP	AERODUCT INC                        
AEROELECTXXX	03/22/1983	  	SEE POINTER INDUSTRIES              
AEROFAST    	03/22/1983	CE	AEROFAST INC                        
AEROFLASH   	03/22/1983	CE	AEROFLASH                           
AEROHARDWARE	03/22/1983	SO	AERO HARDWARE & SUPPLY              
AEROHYDRAUL 	03/22/1983	GL	AERO HYDRAULICS DIV GARRETT CORP    
AEROINSTRMNT	03/22/1983	GL	AERO INSTRUMENT CO INC              
AEROL       	03/22/1983	WP	AEROL CO                            
AEROMARINE  	03/22/1983	WP	AEROMARINE AIRCRAFT PRODUCTS CO     
AEROMECH    	03/22/1983	WP	AERO MECHANISM DIV G&H TECH         
AEROMRNECORP	03/22/1983	EA	AEROMARINE CORP                     
AERONETICS  	03/22/1983	GL	AERONETICS DIV OF AAR CORP          
AEROPRODTSXX	03/22/1983	  	SEE ALLSN DIV OF GMC                
AEROQUIP    	03/22/1983	GL	AEROQUIP CORP LIBBEY OWENS FORD CO  
AEROQUIPSPCE	03/22/1983	WP	AEROQUIP CORP AEROQUIP AEROSPACE DIV
AERORS      	03/22/1983	WP	AERO RESOURCES INC                  
AEROS       	08/25/2003	NM	WORLDWIDE AEROS CORP                
AEROSMITH   	03/22/1983	SO	AEROSMITH INC                       
AEROSONIC   	03/22/1983	SW	AEROSONIC CORP                      
AEROSP      	03/22/1983	EU	AEROSPATIALE                        
AEROSPACECMP	03/22/1983	CE	AEROSPACE SYS & COMPONENTS INC      
AEROSPACEXXX	03/22/1983	  	SEE TALLEY FOR AEROSPACE CNTRLS CORP
AEROSTAR    	02/01/1991	NM	RX8 AEROSTAR                        
AEROSYS     	03/22/1983	SO	AERO SYSTEMS INC.                   
AEROTECH    	08/19/1986	WP	AERO-TECH SERVICES INC - FUEL CELLS 
AEROTK      	03/22/1983	SO	AEROTEK INC                         
AEROVD      	12/08/1997	NM	AEROVODOCHODY                       
AERPEG      	03/22/1983	EU	AER-PEGASO                          
AERSPC      	03/22/1983	AL	AEROSPACE LINES INC                 
AERSTR      	12/12/1989	CE	AEROSTAR INTERNATIONAL              
AESPZO      	09/25/2008	EU	AERO SP ZOO                         
AETNA       	03/22/1983	WP	AETNA AEROCRAFT CORP                
AGUSTA      	03/22/1983	EU	AGUSTA-BELL S.P.A.                  
AHRENS      	03/22/1983	EU	AHRENS                              
AID         	03/22/1983	CE	AIRCRAFT INSTRUMENT DEVELOPMENT CORP
AIM         	03/22/1983	SW	AVIATION INSTRUMENT MFG CORP        
AIMM        	03/12/1998	EU	AEROMOTINDUSTRIALTDA                
AIRASC      	03/22/1983	WP	AIRCRAFT ASSOCIATES INC             
AIRBAU      	10/19/2007	GL	AIRBORNE WINDSPORTS AUSTRALIA       
AIRBLD      	03/22/1983	WP	AIRCRAFT BUILDERS CORP              
AIRBORNE    	03/22/1983	GL	AIRBORNE MFG CO                     
