Model	Last_Change_Date	Region	Make	Engine_Group	Regis_Code	Model_Breakdown_Prefix	Model_Breakdown_Basc	Design_Char	TC_Data_Sheet_No	TC_Model
1100YAMAHA  	08/23/2001	GL	AMTR  	YAMAHA	       	1100 	YAMAHA 	3V	EXPE3V  	1100YAMAHA          
12NS350     	03/22/1983	EA	DEVORE	12NS  	       	12NS 	350    	3Y	E1WE    	12NS350             
12NS350CBA  	03/22/1983	EA	DEVORE	12NS  	       	12NS 	350CBA 	3Y	E12EA   	12NS350CBA          
13BMAZDA    	11/14/2008	  	MAZDA 	13    	       	     	13B    	3W	        	MAZDA13B            
2100D       	06/14/2001	GL	AMTRRM	2100  	       	2100 	D      	3O	EXPE3O  	REVMASTER2100D      
215V8       	05/09/1988	GL	AMTRGM	215   	99999  	215V8	       	3V	EXPE3V  	BUICK215V8          
224         	01/14/2003	SO	PCKARD	224   	       	224  	       	4V	EXP4V   	224                 
2350*       	11/14/2008	EU	SOLO  	2350  	58107  	     	2350   	3I	        	SOLO2350SERIES      
250B*       	05/09/1988	GL	ALLSN 	250B  	       	250B 	*      	3T	E10CE   	250MODELUNK         
250B15A     	03/22/1983	GL	ALLSN 	250B  	03010  	250B 	15A    	3T	E10CE   	250B15A             
250B15E     	03/22/1983	GL	ALLSN 	250B  	03010  	250B 	15E    	3T	E10CE   	250B15E             
250B15G     	03/22/1983	GL	ALLSN 	250B  	03010  	250B 	15G    	3T	E10CE   	250B15G             
250B17      	03/22/1983	GL	ALLSN 	250B  	03012  	250B 	17     	3T	E10CE   	250B17              
250B17B     	03/22/1983	GL	ALLSN 	250B  	03010  	250B 	17B    	3T	E10CE   	250B17B             
250B17C     	11/06/2001	GL	ALLSN 	250B  	       	250B 	17C    	3T	E10CE   	250B17C             
250B17D     	12/11/1996	GL	ALLSN 	250B  	       	     	       	3T	E10CE   	250B17D             
250B17F2    	02/13/2001	GL	ALLSN 	250B  	       	250B 	17F2   	3T	E10CE   	250B17F2            
250C*       	05/09/1988	GL	ALLSN 	250C  	       	250C 	*      	3U	E4CE    	250CMODELUNK        
250C10      	03/22/1983	GL	ALLSN 	250C  	03002  	250C 	10     	3U	E4CE    	250C10              
250C10B     	03/22/1983	GL	ALLSN 	250C  	03011  	250C 	10B    	3U	E4CE    	250C10B             
250C10D     	03/22/1983	GL	ALLSN 	250C  	03011  	250C 	10D    	3U	E4CE    	250C10D             
250C18      	03/22/1983	GL	ALLSN 	250C  	03011  	250C 	18     	3U	E4CE    	250C18              
250C18A     	03/22/1983	GL	ALLSN 	250C  	03011  	250C 	18A    	3U	E4CE    	250C18A             
250C18B     	03/22/1983	GL	ALLSN 	250C  	03011  	250C 	18B    	3U	E4CE    	250C18B             
250C18C     	03/22/1983	GL	ALLSN 	250C  	03011  	250C 	18C    	3U	E4CE    	250C18C             
250C19      	08/10/1984	GL	ALLSN 	250C  	03011  	250C 	19     	3U	E4CE    	250C19              
250C20      	04/22/1983	GL	ALLSN 	250C  	03013  	250C 	20     	3U	E4CE    	250C20              
250C20B     	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	20B    	3U	E4CE    	250C20              
250C20C     	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	20C    	3U	E4CE    	250C20C             
250C20F     	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	20F    	3U	E4CE    	250C20F             
250C20J     	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	20J    	3U	E4CE    	250C20J             
250C20R     	02/09/2000	GL	ALLSN 	25OC  	       	250C 	20R    	3U	E4CE    	250C20R             
250C20R1    	06/17/1999	GL	ALLSN 	250C  	03013  	250C 	20R1   	3U	E4CE    	250C20R1            
250C20R2    	11/06/1996	GL	ALLSN 	250C  	       	250  	C2     	3U	E4CE    	250C20R2            
250C20W     	09/24/2008	NE	ALLSN 	250C  	       	250C 	20W    	3U	E4CE    	250C20W             
250C28      	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	28     	3U	E1GL    	250C28              
250C28B     	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	28B    	3U	E1GL    	250C28B             
250C28C     	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	28C    	3U	E1GL    	250C28C             
250C30      	03/22/1983	GL	ALLSN 	250C  	03013  	250C 	30     	3U	E1GL    	250C30              
250C30G2    	09/09/1994	GL	ALLSN 	250C  	03013  	     	       	3U	E1GL    	250C30G2            
250C30P     	08/10/1984	GL	ALLSN 	250C  	03013  	250C 	30P    	3U	E1GL    	250C30P             
250C30S     	04/22/1983	GL	ALLSN 	250C  	03013  	250C 	30S    	3U	E1GL    	250C30S             
250C40B     	09/01/1999	NE	ALLSN 	250C  	03032  	250C 	40B    	3U	E1GL    	250C40B             
250C47B     	11/06/1996	GL	ALLSN 	250C  	       	250  	C4     	3U	E1GL    	250C47B             
