Model	Last_Change_Date	Region	Make	Propeller_Group	Regis_Code	Design_Char	TC_Data_Sheet_Number	TC_Model
12D*        	03/22/1983	NE	HAMSTD	12D   	       	5C	P257    	12DMODELUNK         
12D40       	03/22/1983	NE	HAMSTD	12D   	       	5C	P257    	12D40               
12DX        	03/22/1983	NE	HAMSTD	12D   	       	5C	P257    	12DX                
14RF19      	05/14/1991	NE	HAMSTD	14RF  	       	6C	P11NE   	14RF19              
14RF20      	04/15/1993	NE	HAMSTD	14RF  	       	6C	P11NE   	14RF20              
14RF9       	05/06/1986	NE	HAMSTD	14RF  	       	6C	P11NE   	14RF9               
14SF*       	03/27/1986	NE	HAMSTD	14SF  	       	6C	P7NE    	14SFMODELUNK        
14SF15      	09/12/1996	NE	HAMSTD	14SF  	       	6C	P7NE    	14SF15              
14SF23      	12/17/1996	NE	HAMSTD	14SF  	       	6C	P7NE    	14SF23              
14SF5       	03/27/1986	NE	HAMSTD	14SF  	       	6C	P7NE    	14SF5               
14SF6       	03/27/1986	NE	HAMSTD	14SF  	       	6C	P7NE    	14SF6               
14SF7       	03/27/1986	NE	HAMSTD	14SF  	       	6C	P7NE    	14SF7               
14SF8       	03/27/1986	NE	HAMSTD	14SF  	       	6C	P7NE    	14SF8               
14SF9       	02/16/1999	NE	HAMSTD	14SF  	       	6N	P11NE   	14SF9               
1A100*      	03/22/1983	GL	MCAULY	1A100 	       	5N	P918    	1A100MODELUNK       
1A100ACM    	03/22/1983	GL	MCAULY	1A100 	       	5N	P918    	1A100ACM            
1A100MCM    	03/22/1983	GL	MCAULY	1A100 	       	5N	P918    	1A100MCM            
1A101DCM    	03/22/1983	GL	MCAULY	1A101 	       	5N	P918    	1A101DCM            
1A101HCM    	03/22/1983	GL	MCAULY	1A101 	       	5N	P918    	1A101HCM            
1A102OCM    	03/22/1983	GL	MCAULY	1A102 	       	5N	P918    	1A102OCM            
1A103TCM    	03/22/1983	GL	MCAULY	1A103 	       	5N	P50GL   	1A103TCM            
1A105*      	03/22/1983	GL	MCAULY	1A105 	       	5N	P918    	1A105MODELUNK       
1A105BCM    	03/22/1983	GL	MCAULY	1A105 	       	5N	P918    	1A105BCM            
1A105SCM    	03/22/1983	GL	MCAULY	1A105 	       	5N	P918    	1A105SCM            
1A105SLM    	03/22/1983	GL	MCAULY	1A105 	       	5N	P918    	1A105SLM            
1A135BRM    	02/09/1998	GL	MCAULY	1A135 	       	5N	P842    	1A135BRM            
1A170*      	03/22/1983	GL	MCAULY	1A170 	       	5N	P857    	1A170MODELUNK       
1A170B*     	11/10/1999	GL	MCAULY	1A170 	       	5N	P857    	1A170B MODEL UNKNOWN
1A170CFA    	03/22/1983	GL	MCAULY	1A170 	       	5N	P857    	1A170CFA            
1A170DF     	03/22/1983	GL	MCAULY	1A170 	       	5N	P857    	1A170DF             
1A170DM     	03/22/1983	GL	MCAULY	1A170 	       	5N	P857    	1A170DM             
1A170E      	10/25/2000	GL	MCAULY	1A170 	       	5N	P857    	1A170E              
